trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,0,5,0,,,,,112.64843740000106,113.65449230000013,113.6364236999998,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,1,6,3,,,,,116.13635890000114,117.11861920000047,117.12016060000133,119.62579750000077,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,2,7,2,,,,,119.65643090000049,120.6218031999997,120.6217398000008,123.12390419999974,None,1,,121.62231090000023,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,1,3,8,4,,,,,123.14029810000102,124.12498140000025,124.12446920000002,126.62766440000087,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,4,9,1,,,,,126.6451391999999,127.62866089999989,127.62760909999997,130.1304713999998,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,0,10,2,,,,,130.14660540000114,131.13038960000085,131.13072889999967,133.63274900000033,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,1,11,3,,,,,133.64934330000142,134.61664829999972,134.6176787000004,137.1187227999999,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,2,12,0,,,,,137.13530890000038,138.12376519999998,138.12255110000115,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,3,13,1,,,,,140.63830589999998,141.6223912000005,141.62297949999993,144.12610900000072,None,1,,142.6231133000001,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,2,4,14,4,,,,,144.14213230000132,145.1255359000006,145.12570830000004,147.62950450000062,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,0,15,3,,,,,147.645071500001,148.62782030000017,148.62795949999963,151.13063110000076,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,1,16,1,,,,,151.1472872000013,152.13145059999988,152.13127040000109,154.63450850000117,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,3,2,17,4,,,,,154.65047380000033,155.61740120000104,155.6190628000004,158.12092510000002,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,3,18,0,,,,,158.13638530000026,159.1207585000011,159.12072540000008,161.62312190000011,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,4,19,2,,,,,161.6399343000012,162.62803379999968,162.62806249999994,165.12590470000032,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,0,20,1,,,,,165.1424545000009,166.12731800000074,166.12666759999956,168.6288166000013,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,1,21,2,,,,,168.64560270000038,169.62985900000058,169.62933410000005,172.13219870000103,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,2,22,0,,,,,172.14883080000072,173.13255850000132,173.13211880000017,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,4,3,23,4,,,,,175.63677890000145,176.61927800000012,176.6189959000003,179.12144530000114,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,4,24,3,,,,,179.13738310000008,180.12176180000097,180.12175750000097,182.62435320000077,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,0,25,3,,,,,182.64016940000147,183.62665930000003,183.6259097000002,186.12674289999995,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,1,26,2,,,,,186.1435620000011,187.12676629999987,187.1278768000011,189.630110600001,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,2,27,1,,,,,189.64658430000054,190.63026979999995,190.6301906000008,193.13463630000115,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,3,28,0,,,,,193.14963900000112,194.13453540000046,194.133871,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,5,4,29,4,,,,,196.63649160000023,197.62014400000044,197.62055300000065,200.12213630000042,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,0,30,2,,,,,200.13824410000052,201.12288210000042,201.12186830000064,203.62658519999968,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,1,31,0,,,,,203.64143500000137,204.6316139999999,204.63149300000077,207.1482143000012,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,6,2,32,4,,,,,207.1978177000001,208.1282697000006,208.1283155000001,,None,0,,209.12889460000042,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,3,33,3,,,,,210.6652219000007,211.63118469999972,211.63120160000108,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,4,34,1,,,,,214.18791390000115,215.13434640000014,215.13391000000047,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,0,35,0,,,,,217.6361506000012,218.66486919999988,218.64353660000052,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,1,36,3,,,,,221.13977200000045,222.12540100000115,222.1258811000007,224.6256529000002,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,2,37,2,,,,,224.64232340000126,225.62647920000018,225.6266157000009,228.1285665000014,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
