trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial,file,corrAns,tone,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,fixation_cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.421815800000331,15.421815800000331,space,1.3869776999927126,,,,,,001,2023-11-08_13h59.27.257,Oddball_task,2022.2.5,59.60956924399496,
,,,,,,,,,,,,16.8549195999949,17.826351600000635,17.824140669996268,18.855372100006207,,,,,,,
