trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.315928600000916,16.315928600000916,space,67.13870239998505,,,,,,,,,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,0,,,,,83.51620820000244,84.48350729999947,84.48375372001173,85.53385370000615,86.4835435999994,2.003129206015742,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,1,1,3,,,,,86.4835435999994,87.48434439999983,87.48375322000793,88.55008150001231,89.48325220000697,2.064027353257405,t,1,0.9545160999987274,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,1,,,,,89.48325220000697,90.48383460000332,90.48421152000519,94.33314940000128,92.49936140001228,4.837538767347684,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,2,,,,,94.33314940000128,95.31680020000204,95.31729152000189,97.04947110000649,97.31681129999924,2.7044019121180205,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,0,4,3,,,,,97.31681129999924,98.31600170000456,98.31752482000302,101.78386310000496,100.31698030000553,4.465550291881051,t,1,0.7314149999874644,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,0,,,,,101.78386310000496,102.78279540000949,102.7834767200009,104.65002120001009,104.78423360000306,2.858439025670791,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,1,,,,,104.78423360000306,105.78329310000117,105.78343202000978,109.59957220000797,107.7828867000062,4.802199750377406,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,2,,,,,109.59957220000797,110.60062510000716,110.59993542000738,113.9825559000019,112.59991110001283,4.376332822219719,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,0,8,0,,,,,113.9825559000019,114.96698950001155,114.96740142000344,116.48314020001271,116.96709900000133,2.488692405460468,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,1,9,1,,,,,116.96709900000133,117.96663999999873,117.96680782000912,119.36739490000764,119.96729100000812,2.3899866627726283,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,2,10,2,,,,,119.96729100000812,120.9660573000001,120.9665257200002,124.73424350000278,122.96667040001194,4.76688528142787,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,3,11,3,,,,,124.73424350000278,125.73315820000425,125.73361942000774,128.8172198000102,127.73283140000422,4.066931960842076,t,1,0.6510449999914272,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,0,12,2,,,,,128.8172198000102,129.816464500007,129.8163358200007,132.59939410000516,131.81697300000815,3.7763158742948004,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,1,13,1,,,,,132.59939410000516,133.5994664000027,133.5996751200044,135.36622020001232,135.59945240001252,2.7533580540384968,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,2,14,0,,,,,135.59945240001252,136.59946470000432,136.59933832000098,139.68277630000375,138.59950300000492,4.0788563701172125,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,3,3,15,3,,,,,139.68277630000375,140.6661243999988,140.6671789200089,142.6658529000124,142.6658529000124,2.983843290261093,t,1,0.741033599988441,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,0,16,2,,,,,142.6658529000124,143.65048010001192,143.6506173200076,146.00005200000305,145.64965590000793,3.3336501052081395,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,1,17,0,,,,,146.00005200000305,146.98395470000105,146.98370712000616,148.78410680001252,148.98368520000076,2.784211946254512,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,2,18,1,,,,,148.98368520000076,149.98302130000957,149.98278832000943,152.5664378000074,152.0065321000002,3.5796319822671356,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,4,3,19,3,,,,,152.5664378000074,153.55060719999892,153.55111872000708,156.3497897000052,155.56630810000934,3.777627399387269,t,1,0.7124218999961158,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,0,20,1,,,,,156.3497897000052,157.35108780000883,157.35034092001007,159.73304910000297,159.34954190001008,3.3731015927788244,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,1,21,2,,,,,159.73304910000297,160.73308800000814,160.73275192000875,163.1660125000053,162.73307830000704,3.4330745761531594,None,1,,161.73277690001123,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,5,2,22,3,,,,,163.1660125000053,164.14908580000338,164.14988322000573,166.11617449999903,166.14984920001007,2.944262513072237,t,1,0.7374405999871669,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,3,23,0,,,,,166.14984920001007,167.13407550001284,167.13484591999878,171.06572520000918,169.13388790001045,4.9123673903704335,None,1,,168.13352730000042,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,0,24,1,,,,,171.06572520000918,172.06598280000617,172.0661795200038,174.01586520001,174.06648540000606,2.9355656107116066,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,1,25,0,,,,,174.06648540000606,175.0658942000009,175.06633062000475,177.56650150001224,177.06570270001248,3.4875839708604834,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,6,2,26,3,,,,,177.56650150001224,178.56588510000438,178.56824722000312,179.80016540001088,180.56713840000157,2.229701186342279,t,1,0.6889270999818109,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,3,27,2,,,,,180.56713840000157,181.5657160000119,181.56631442001236,185.43325460000779,183.56574900000123,4.853731102188647,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,0,28,1,,,,,185.43325460000779,186.4157922000013,186.41721902000864,188.0828072000004,188.4161873999983,2.6423164461974027,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,1,29,2,,,,,188.4161873999983,189.40044730000955,189.40057812000015,193.31633080000756,191.39903040000354,4.893294483663972,None,1,,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,7,2,30,3,,,,,193.31633080000756,194.31589209999947,194.3162946200071,197.83328960000654,196.31629860000976,4.514424671754014,t,1,0.7308574999915436,,,001,2023-11-08_10h54.34.160,Oddball_task,2022.2.5,60.42018614161272,
