trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.stopped,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,13,2,67,1,,,,,466.71306059999915,467.6962019000057,467.6961697700026,None,1,,470.1961044000054,,,,,,,470.2128217999998,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,13,3,68,3,,,,,470.2128217999998,471.1966700000048,471.1969762700028,None,1,,473.69649709999794,,,,,,,473.7139218000084,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,13,4,69,2,,,,,473.7139218000084,474.6967267,474.6962274700054,None,1,,477.19675570000254,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,14,0,70,0,,,,,477.2133371000091,478.19672730000457,478.1966703700018,None,1,,480.6968676999968,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,14,1,71,1,,,,,480.71345150000707,481.6964475999994,481.69622957000684,None,1,,484.1964549999975,,,,,,,484.2138181000046,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,14,2,72,2,,,,,484.2138181000046,485.1969686999946,485.1965259700082,None,1,,487.6965485999972,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,14,3,73,4,,,,,487.7127615000063,488.69620069999655,488.6959410700074,t,1,,491.19616010000755,0.7478696000034688,,,,,,491.21292910000193,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,14,4,74,3,,,,,491.21292910000193,492.1967524000065,492.1964237700013,None,1,,494.6959598999965,,,,,,,494.7131406999979,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,15,0,75,1,,,,,494.7131406999979,495.69612350000534,495.69651957000315,None,1,,498.19616049999604,,,,,,,498.2128418000066,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,15,1,76,4,,,,,498.2128418000066,499.1959444999957,499.1959676700062,t,1,,501.69685000000754,0.8419426000036765,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,15,2,77,0,,,,,501.7130194000056,502.6960070000059,502.6961267699953,None,1,,505.1959685000038,,,,,,,505.2131466999999,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,15,3,78,3,,,,,505.2131466999999,506.19642829999793,506.19589437000104,None,1,,508.6970724999992,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,15,4,79,2,,,,,508.71328670000366,509.69687110000814,509.69784866999544,None,1,,512.1970220000076,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,16,0,80,2,,,,,512.2139180999948,513.1966169000079,513.1970818700065,None,1,,515.6965055000037,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,16,1,81,4,,,,,515.7131050000025,516.6965079000074,516.696563370002,t,1,,519.1969706999953,0.8921960000006948,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,16,2,82,3,,,,,519.2134461999958,520.1967958000023,520.1969795699988,None,1,,522.6968496000045,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,16,3,83,1,,,,,522.7137441999948,523.6961682999972,523.69695297,None,1,,526.1965676999971,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,16,4,84,0,,,,,526.2128926000005,527.1966475000081,527.1971878699987,None,1,,529.6965533000039,,,,,,528.1967239000078,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,17,0,85,0,,,,,529.7133117000049,530.6961209000001,530.6960407699953,None,1,,533.1968105999986,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,17,1,86,4,,,,,533.2132529000082,534.1961368000048,534.1961771700007,t,1,,536.6966167000064,0.672093599991058,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,17,2,87,1,,,,,536.7133349000069,537.6962870999996,537.696162570006,None,1,,540.1963104000024,,,,,,,540.212812400001,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,17,3,88,3,,,,,540.212812400001,541.1960249999975,541.1960370699962,None,1,,543.6966306999966,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,17,4,89,2,,,,,543.7132657000038,544.6961754000076,544.696480070008,None,1,,547.1973263999971,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,18,0,90,0,,,,,547.2132132999977,548.1966319000057,548.1966596700076,None,1,,550.6967681999959,,,,,,549.1968043000088,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,18,1,91,3,,,,,550.713002000004,551.696093599996,551.6964366699976,None,1,,554.1968624000001,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,18,2,92,2,,,,,554.212995000009,555.1965109000012,555.1965909700084,None,1,,557.6971943999961,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,18,3,93,1,,,,,557.7130252000061,558.6967199000064,558.6967843699967,None,1,,561.1962816000014,,,,,,,561.2128014000045,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,18,4,94,4,,,,,561.2128014000045,562.1969832000032,562.1968828700046,t,1,,564.697073400006,0.9039574000053108,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,19,0,95,1,,,,,564.7131986000022,565.6964492999978,565.6966171700042,None,1,,568.196463100001,,,,,,,568.2138613999996,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,19,1,96,2,,,,,568.2138613999996,569.1983602999971,569.197465270001,None,1,,571.6972730999987,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,19,2,97,3,,,,,571.7137782000063,572.6969461999979,572.6971529699949,None,1,,575.1967528999958,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,19,3,98,0,,,,,575.2138533999969,576.1966748999985,576.196457469996,None,1,,578.6971602999984,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,19,4,99,4,,,,,578.713623100004,579.6972812000022,579.6972756699979,t,1,,582.1970742999983,0.6128551000001607,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,20,0,100,1,,,,,582.2137132000062,583.1966077999969,583.1965618700051,None,1,,585.6967159000051,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,20,1,101,3,,,,,585.7129370000039,586.6963029000035,586.6967950700055,None,1,,589.1968960999948,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,20,2,102,4,,,,,589.2130542999948,590.197153000001,590.1968576700019,t,1,,592.6969190000091,0.8712890000024345,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,20,3,103,0,,,,,592.7144421999983,593.696620200004,593.696486269997,None,1,,596.196852100009,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,20,4,104,2,,,,,596.2133610000019,597.1970529999962,597.197496770008,None,1,,599.6965732999961,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,21,0,105,0,,,,,599.7132658000046,600.697113000002,600.6963029699982,None,1,,603.1972269999969,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,21,1,106,3,,,,,603.2135619000037,604.1966837000073,604.1965579700045,None,1,,606.6972567000048,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,21,2,107,4,,,,,606.7145635000052,607.6966395000054,607.6969504699955,t,1,,610.1966557999986,0.7884953000029782,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,21,3,108,2,,,,,610.2137887999997,611.1968513000029,611.1969686700031,None,1,,613.6974025999953,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,21,4,109,1,,,,,613.713946200005,614.6969519999984,614.6969553700037,None,1,,617.1972749999986,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,22,0,110,2,,,,,617.2137648000062,618.1966222000046,618.1967850700021,None,1,,620.6966501999996,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,22,1,111,0,,,,,620.7138536999992,621.6972356000042,621.6971772700053,None,1,,624.1966821999958,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,22,2,112,4,,,,,624.2135815000074,625.1970661999949,625.1967597699986,t,1,,627.6970156000025,0.8239001999900211,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,22,3,113,3,,,,,627.7142984999955,628.697788599995,628.6978536700044,None,1,,631.1972133999952,,,,,,629.6973429000063,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,22,4,114,1,,,,,631.2138329000009,632.1977503000089,632.197208669997,None,1,,634.6973689000006,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,23,0,115,3,,,,,634.7137270999956,635.6979124000063,635.6966438700038,None,1,,638.1973856999975,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,23,1,116,0,,,,,638.2138944000035,639.1966481999989,639.1969130700018,None,1,,641.6975898999954,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,23,2,117,1,,,,,641.7142352000083,642.6971783000045,642.6968909700081,None,1,,645.1970306000003,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,23,3,118,2,,,,,645.2135011000064,646.1967173000012,646.1965598700044,None,1,,648.6970508000086,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,23,4,119,4,,,,,648.7137363000074,649.6966132999951,649.6970734700008,t,1,,652.1969357000053,0.9576237000001129,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,24,0,120,4,,,,,652.2138443000003,653.1968257999979,653.1971071699954,t,1,,655.6969905000005,1.0482267000043066,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,24,1,121,3,,,,,655.7145331000065,656.6973747000011,656.6973888700013,None,1,,659.1974359000014,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,24,2,122,1,,,,,659.2146295999992,660.1974961000087,660.1976326699951,None,1,,662.6970847000048,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,24,3,123,2,,,,,662.7138303999964,663.6975940999982,663.6977971699962,None,1,,666.1974483000085,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,24,4,124,0,,,,,666.2138823999994,667.1970258000074,667.1966532700026,None,1,,669.697284599999,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,25,0,125,4,,,,,669.7135070000077,670.697874999998,670.6971170699981,t,1,,673.1969147000054,1.0428137999988394,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,25,1,126,3,,,,,673.2138475999964,674.1974507999985,674.1972852699982,None,1,,676.6972974999953,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,25,2,127,1,,,,,676.7140539999964,677.6969092000072,677.6981212700048,None,1,,680.1980323000025,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,25,3,128,0,,,,,680.2142327000038,681.1969467000017,681.1970264700067,None,1,,683.6974859000038,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,25,4,129,2,,,,,683.7146483999968,684.6975536999962,684.6973983700009,None,1,,687.1977066999971,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,26,0,130,2,,,,,687.215111700003,688.1968682000006,688.196752570002,None,1,,690.6975852000032,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,26,1,131,4,,,,,690.7149413000006,691.6979399999982,691.6977386700019,t,1,,694.197582000008,0.8510757999902125,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,2,132,3,,,,,694.2145533000003,695.1983183999982,695.1971671700012,None,1,,697.6976103000052,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,3,133,1,,,,,697.7142916000012,698.6974394999997,698.6978246700019,None,1,,701.1982146000082,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,26,4,134,0,,,,,701.214618500002,702.1969701000053,702.1972401700041,None,1,,704.6981363000086,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,27,0,135,1,,,,,704.7149637999973,705.6979802999995,705.6974118700018,None,1,,708.1976472999959,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,27,1,136,0,,,,,708.2143170000054,709.1979651000001,709.1969843700062,None,1,,711.6973820999992,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,27,2,137,2,,,,,711.7137760000041,712.6976624999952,712.6976946700015,None,1,,715.1973173000006,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,27,3,138,3,,,,,715.2140783000068,716.1978539999982,716.1970873700047,None,1,,718.6973421000002,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,27,4,139,4,,,,,718.7141683000082,719.6973412000079,719.6974012700084,t,1,,722.1977827000082,0.813124099993729,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,28,0,140,3,,,,,722.214764400007,723.1979087000072,723.1977501700021,None,1,,725.6973104000062,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,28,1,141,4,,,,,725.7147557999997,726.6988906000042,726.6994221700006,t,1,,729.1974012999999,0.7789903999946546,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,28,2,142,1,,,,,729.2138898999983,730.1978864999983,730.197368470006,None,1,,732.697642900006,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,28,3,143,0,,,,,732.7149044999969,733.6981310999981,733.6984798699996,None,1,,,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,28,4,144,2,,,,,736.213917400004,737.1973072999972,737.1971197700041,None,1,,739.6974915000028,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,29,0,145,4,,,,,739.7140884999972,740.6973627999978,740.6978696699953,t,1,,743.1984605000034,0.8925541000062367,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,29,1,146,0,,,,,743.214668200002,744.1971112000028,744.1971269700007,None,1,,746.6977941000077,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,29,2,147,2,,,,,746.7145449000091,747.6981728999963,747.6973794700025,None,1,,750.1979829000047,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,29,3,148,3,,,,,750.2145140000066,751.1978958999971,751.1980244699953,None,1,,753.6987975000084,,,,,,752.1980256999959,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,29,4,149,1,,,,,753.7149529000017,754.6977944999962,754.6977617700031,None,1,,757.1972015000065,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,30,0,150,0,,,,,757.2144798000081,758.1974536000052,758.197629369999,None,1,,760.6980978000065,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,30,1,151,2,,,,,760.7151120000053,761.6977775999985,761.6971876699972,None,1,,764.1987689000089,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,30,2,152,4,,,,,764.2147723000089,765.1979890000075,765.1978928699973,t,1,,767.6989946999965,0.6391177000041353,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,30,3,153,3,,,,,767.7145954000007,768.6986063000077,768.6980084700044,None,1,,771.1979854999954,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
