trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,fixation_cross.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,32,1,129,0,,,,,519.3022036000038,520.3086857000017,520.2899077399968,522.9023239999951,522.3229309000017,3.587663895547882,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,32,2,130,2,,,,,522.9023239999951,523.8881783999968,523.8869316399985,527.4204125999968,525.9022115999978,4.490579947053227,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,32,3,131,1,,,,,527.4204125999968,528.4022263000079,528.4031310400067,530.4697065000073,530.4029494999995,3.0442284140696736,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,33,0,132,3,,,,,530.4697065000073,531.4690286999976,531.468962439995,532.5912058999966,533.4694276999944,2.099604135302722,t,1,0.53579829998489,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,33,1,133,2,,,,,533.4694276999944,534.4696526000043,534.470167340002,536.7528963999939,536.4716562999965,3.269975047903319,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,33,2,134,0,,,,,536.7528963999939,537.7515659000055,537.7517405400038,541.319714600002,539.7524530999945,4.5530509973596,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,33,3,135,1,,,,,541.319714600002,542.3018125999952,542.3024027399995,544.2363762000023,544.3032297000027,2.9167889794849837,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,34,0,136,3,,,,,544.3032297000027,545.3028636999952,545.3020295399954,548.8859235999989,547.3032111000066,4.579063076444677,t,1,0.47888439999951515,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,34,1,137,1,,,,,548.8859235999989,549.8704508999945,549.8711707399968,551.3350910000008,551.8691879999969,2.446901532514649,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,34,2,138,2,,,,,551.8691879999969,552.8695597000042,552.8699750400017,556.0685746999952,554.869193999999,4.1891900329903375,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,34,3,139,0,,,,,556.0685746999952,557.0523007000011,557.052074240001,560.9690952999954,559.0521908999945,4.901266234501033,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,35,0,140,1,,,,,560.9690952999954,561.9689683000033,561.9692474399969,565.5359319999989,563.9692400000058,4.563376576344796,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,35,1,141,2,,,,,565.5359319999989,566.5352334000054,566.5357086400079,569.4855743999942,568.5587172999949,3.9471708696180725,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,35,2,142,3,,,,,569.4855743999942,570.4865126999939,570.485159239998,573.1688030000078,572.4862424000021,3.6702161753183464,t,1,0.4644934999960242,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,35,3,143,0,,,,,573.1688030000078,574.1685945000063,574.1684618400075,575.9021977999946,576.1697801999981,2.729643396570324,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,36,0,144,1,,,,,576.1697801999981,577.1687207000068,577.1687313400078,578.8688137999998,579.1696955999942,2.699910813682807,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,36,1,145,2,,,,,579.1696955999942,580.1687657000002,580.1690221399956,582.7522576000047,582.1696043999982,3.5709731119379633,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
