trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,text.started,fixation.stopped,sound_1.started,text.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,22.411155699985102,22.411155699985102,space,166.37527419999242,,,,,,,,,,001,2023-10-27_16h47.08.345,Oddball_task,2022.2.5,59.84393898586827,
0,0,0,0,,,,,188.8155778000364,248.81020599999465,248.8259529999923,308.80348419998774,308.821042100084,,,,,001,2023-10-27_16h47.08.345,Oddball_task,2022.2.5,59.84393898586827,
1,0,1,0,,,,,309.80336480005644,369.8132155999774,369.8132155999774,429.80716739997735,429.8246075999923,,,,,001,2023-10-27_16h47.08.345,Oddball_task,2022.2.5,59.84393898586827,
2,0,2,0,,,,,430.80728339997586,490.8004347999813,490.8184594999766,550.811716500041,550.8151787000243,,,,,001,2023-10-27_16h47.08.345,Oddball_task,2022.2.5,59.84393898586827,
3,0,3,0,,,,,551.8137550000101,611.8040819000453,611.8208695000503,671.8151591000612,671.8142996000824,,,,,001,2023-10-27_16h47.08.345,Oddball_task,2022.2.5,59.84393898586827,
4,0,4,0,,,,,672.8331722000148,732.808199500083,732.8407719000243,792.8015164000215,792.818361200043,,,,,001,2023-10-27_16h47.08.345,Oddball_task,2022.2.5,59.84393898586827,
,,,,,,,,,,,,,793.8007613000227,796.8150734000374,796.8150734000374,,,,,,,
