trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,feedback_text.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,2,22,2,,,,,69.03587130003143,70.01782880001701,70.01831845001433,s,1,0.1742009000154212,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,3,23,2,,,,,70.2347005000338,71.21705410000868,71.21680004998925,s,1,0.10224610002478585,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,0,24,0,,,,,71.36660130001837,72.34941309998976,72.34917804999859,s,1,0.20642950001638383,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,1,25,3,,,,,72.59875860001193,73.59831329999724,73.59807235001935,t,1,0.2946964000002481,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,2,26,0,,,,,73.93096269998932,74.93046740000136,74.93037755000987,s,1,0.23182109999470413,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,3,27,0,,,,,75.1966169999796,76.17898050002987,76.17866435000323,s,1,0.1539378000306897,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,0,28,0,,,,,76.37899649998872,77.3611940999981,77.3608812499966,s,1,0.18405829998664558,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,1,29,2,,,,,77.59468049998395,78.57664179999847,78.57709095003665,s,1,0.2768039000220597,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,2,30,2,,,,,78.89334850001615,79.89235019998159,79.89203904999303,s,1,0.4139957000152208,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,3,31,3,,,,,80.34103619999951,81.34099280001828,81.34110494999331,s,0,0.19308110000565648,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,0,32,1,,,,,81.57362929999363,82.57315970002674,82.57305095000774,t,0,0.21812440000940114,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,1,33,1,,,,,82.83925369998906,83.83795870002359,83.83830825000186,s,1,0.7641784000443295,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,2,34,2,,,,,84.63808880001307,85.62057090003509,85.62040115001727,s,1,0.1151706000091508,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,3,35,2,,,,,85.76969779998763,86.76867730001686,86.76940094999154,s,1,0.2885279000038281,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,0,36,2,,,,,87.10246239998378,88.10093329998199,88.10147405001916,s,1,0.344566699990537,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,1,37,3,,,,,88.48439719999442,89.4666406000033,89.46628515002666,s,0,0.2622514999820851,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,2,38,0,,,,,89.76596930000233,90.74869099998614,90.74909794999402,s,1,0.37685540004167706,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,3,39,1,,,,,91.1652471999987,92.14694380003493,92.14758144999504,s,1,0.23433680000016466,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.43049220001558,95.42822920001345,95.44481960003031,,,,,,,
