trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,text.started,fixation.stopped,sound_1.started,text.stopped,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,126.30657629999769,126.30657629999769,space,97.95148220000556,,,,,,,,,,,,001,2023-10-20_13h25.17.805,Oddball_task,2022.2.5,60.33000512739197,
0,0,0,0,,,,,224.2887391999975,284.2846215000027,284.3014353000035,344.27617540000284,344.29331529999763,,,,,,,001,2023-10-20_13h25.17.805,Oddball_task,2022.2.5,60.33000512739197,
1,0,1,0,,,,,345.27743960000225,405.286563499998,405.286563499998,465.28088089999875,465.29644310000003,,,,,,,001,2023-10-20_13h25.17.805,Oddball_task,2022.2.5,60.33000512739197,
2,0,2,0,,,,,466.2800836000024,526.2726270999992,526.2922687000028,586.2855495999981,586.2831776000021,,,,,,,001,2023-10-20_13h25.17.805,Oddball_task,2022.2.5,60.33000512739197,
3,0,3,0,,,,,587.2853526000035,647.276818899998,647.2943392000016,707.2868500999982,707.2915705999985,,,,,,,001,2023-10-20_13h25.17.805,Oddball_task,2022.2.5,60.33000512739197,
4,0,4,0,,,,,708.2863911000022,768.2816192000028,768.2976153999989,828.2753482999985,828.2920234999983,,,,,,,001,2023-10-20_13h25.17.805,Oddball_task,2022.2.5,60.33000512739197,
,,,,,,,,,,,,,829.2751280000011,832.2885771000001,832.2885771000001,e,119.64407679999567,,001,2023-10-20_13h25.17.805,Oddball_task,2022.2.5,60.33000512739197,
