trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.rt,response.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,3,31,3,,,,,221.74779629998375,222.7333675000118,222.7306093599822,t,1,,0.7812321999808773,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,0,32,1,,,,,225.74385999998776,226.72853379999287,226.72798775998527,s,1,,0.807004300004337,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,1,33,1,,,,,229.7412508999696,230.72501360002207,230.7251409600198,s,1,,0.8185842999955639,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,2,34,1,,,,,233.73783689999254,234.7199052000069,234.7200015600014,s,1,,0.7599433999857865,237.7343265999807,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,3,35,2,,,,,237.75004620000254,238.71521070000017,238.7210569600051,s,1,,0.7543058999581262,241.7296961999964,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,0,36,2,,,,,241.74658269999782,242.72897759999614,242.73044656002313,s,1,,0.7185113999876194,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,1,37,2,,,,,245.74201819999143,246.72600580001017,246.72412346001366,s,1,,0.6327295000082813,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,2,38,2,,,,,249.73988800001098,250.72226629999932,250.72337155999267,s,1,,0.6692778999567963,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,3,39,1,,,,,253.7363901999779,254.71659600001294,254.72350486001815,s,1,,0.9148339000530541,257.7325535999844,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.74933079996845,260.72799699997995,260.7688171999762,,,,,,,
