trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,text.started,fixation.stopped,sound_1.started,text.stopped,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,18.002125699989847,18.002125699989847,space,129.90992620000907,,,,,,,,,,,001,2023-11-01_11h11.32.920,Oddball_task,2022.2.5,59.7897672188512,
0,0,0,0,,,,,147.9437409999955,207.93671300000278,207.95563820000098,267.92936621999104,267.9466737999901,,,,,,001,2023-11-01_11h11.32.920,Oddball_task,2022.2.5,59.7897672188512,
1,0,1,0,,,,,268.9309787999955,328.94061969999166,328.94061969999166,388.9334849199935,388.95050599999377,,,,,,001,2023-11-01_11h11.32.920,Oddball_task,2022.2.5,59.7897672188512,
2,0,2,0,,,,,389.95017139999254,449.9267636000004,449.96066739999515,509.93902822000234,509.9398150999914,,,,,,001,2023-11-01_11h11.32.920,Oddball_task,2022.2.5,59.7897672188512,
3,0,3,0,,,,,510.9368886000011,570.9301274999889,570.9471074999892,630.9415251199956,630.942160999999,631.9401808999974,,,,,001,2023-11-01_11h11.32.920,Oddball_task,2022.2.5,59.7897672188512,
4,0,4,0,,,,,631.9401808999974,691.9348134000029,691.9525565999938,751.9285902199903,751.9448697999906,,,,,,001,2023-11-01_11h11.32.920,Oddball_task,2022.2.5,59.7897672188512,
,,,,,,,,,,,,,,752.9301607999951,755.941853700002,755.941853700002,,,,,,,
