trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,text.started,fixation.stopped,sound_1.started,text.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,38.30441470000005,38.30441470000005,space,46.42615520000027,,,,,,,,,,001,2023-11-01_12h23.49.254,Oddball_task,2022.2.5,60.15721486532742,
0,0,0,0,,,,,84.75199470000007,144.74627280000004,144.7669748000003,204.7407195100001,204.75766479999993,,,,,001,2023-11-01_12h23.49.254,Oddball_task,2022.2.5,60.15721486532742,
1,0,1,0,,,,,205.73879430000034,265.7496021000002,265.7496021000002,325.7438368100003,325.7612658000003,,,,,001,2023-11-01_12h23.49.254,Oddball_task,2022.2.5,60.15721486532742,
2,0,2,0,,,,,326.7436646000001,386.7535277000002,386.7535277000002,446.74742871,446.76422760000014,,,,,001,2023-11-01_12h23.49.254,Oddball_task,2022.2.5,60.15721486532742,
3,0,3,0,,,,,447.74603000000025,507.7416472,507.7567349000001,567.7511017100002,567.7508968000002,,,,,001,2023-11-01_12h23.49.254,Oddball_task,2022.2.5,60.15721486532742,
4,0,4,0,,,,,568.7517167000001,628.7444316000001,628.7615437,688.7391120100002,688.7551234000002,,,,,001,2023-11-01_12h23.49.254,Oddball_task,2022.2.5,60.15721486532742,
,,,,,,,,,,,,,689.7534353000001,692.7509543000001,692.7690651000003,,,,,,,
