trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,0,24,3,,,,,100.55616939999891,101.5548932999991,101.55552756666499,t,1,0.4535572000022512,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,1,25,0,,,,,102.03901709999991,103.02151609999964,103.01970406666648,s,1,0.594557900001746,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,2,26,2,,,,,103.64977119999821,104.63662169999952,104.63720856666647,s,1,0.539515800001027,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,3,27,3,,,,,105.21707489999972,106.21698589999869,106.20708286666583,t,1,0.5758951000007073,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,0,28,3,,,,,106.81956089999949,107.80452359999981,107.80322486666616,t,1,0.4858231000016531,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,1,29,3,,,,,108.3255827999983,109.30496349999885,109.30295976666663,t,1,0.5112817000008363,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,2,30,0,,,,,109.85463379999965,110.85490969999955,110.85528806666504,s,1,0.5619153000006918,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,3,31,0,,,,,111.43824419999873,112.41929829999935,112.42213756666594,s,1,0.5172793000001548,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,0,32,0,,,,,112.96641719999934,113.95498969999971,113.95290436666643,s,1,0.5182979000019259,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,1,33,2,,,,,114.5190462999999,115.50390249999873,115.50330426666575,s,1,0.4807321000007505,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,2,34,2,,,,,116.02003929999955,117.02125359999991,117.02132736666523,s,1,0.443664100001115,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,3,35,2,,,,,117.48706609999863,118.48611939999864,118.4857124666653,s,1,0.44222390000140877,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,0,36,1,,,,,118.97295599999961,119.97026039999946,119.96864236666649,s,1,0.38259800000196265,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,1,37,2,,,,,120.3850911999998,121.36861169999975,121.36998286666518,s,1,0.4318747000015719,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,2,38,3,,,,,121.8198042999993,122.80534129999978,122.80479436666634,t,1,0.49902190000102564,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,3,39,1,,,,,123.34970599999906,124.3394808999983,124.33593696666527,s,1,0.5819089000015083,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,124.94902799999909,127.95611799999824,127.95611799999824,e,22.77445230000194,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
