trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trial,file,corrAns,tone,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.757544399995822,11.757544399995822,space,1.272685799980536,,,,mjhg,001,2023-09-22_14h47.35.527,Oddball_task,2022.2.5,60.02912613015317,
,,,,,,,,,,,,13.053318699996453,14.052349699952174,14.05305371999275,,,,,,,
