trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,response.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,2,14,1,,,,,135.90939230000367,136.89112159999786,136.89134216996027,s,1,0.6722204000107013,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,3,15,2,,,,,139.90990949998377,140.88773749995744,140.8873737699527,s,1,0.7763429000042379,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,0,16,0,,,,,143.90138249995653,144.8826820999966,144.88480156998267,s,1,0.8251512999995612,,147.8996063999948,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,1,17,0,,,,,147.9150003999821,148.88010589999612,148.88452766999254,s,1,0.6859216999728233,,151.89434319996508,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,2,18,3,,,,,151.9094718999695,152.89170989999548,152.893818369956,t,1,0.7246259999810718,,155.89000989997294,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,3,19,1,,,,,155.90749869996216,156.89020729996264,156.89006726997323,s,1,0.9907140999566764,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,0,20,0,,,,,159.903858799953,160.88562049996108,160.88523207000108,s,1,0.6738095000036992,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,1,21,2,,,,,163.8995054999832,164.8981326999492,164.89940406999668,s,1,0.7565290000056848,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,2,22,2,,,,,167.91140389995417,168.90213750000112,168.8936077699822,s,1,0.7616929999785498,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,3,23,2,,,,,171.9077668999671,172.89173370000208,172.8895868699823,s,1,0.7430018000304699,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
